Time,sum(Coindays destroyed – Blocks) – Bitcoin
02.06.2011,12677111.398537000
03.06.2011,16289395.562911700
04.06.2011,2634900.1758566200
05.06.2011,9289358.321099580
06.06.2011,10370346.252882500
07.06.2011,4431601.697838200
08.06.2011,22142381.083560000
09.06.2011,10671373.762792100
10.06.2011,15113989.52649730
11.06.2011,18517129.76479120
12.06.2011,12004931.166900900
13.06.2011,15913417.380742600
14.06.2011,52402875.115573400
15.06.2011,21686875.45141560
16.06.2011,19951662.230442100
17.06.2011,7579124.754762280
18.06.2011,1562801.118165890
19.06.2011,18506660.528188000
20.06.2011,2477823.7366018200
21.06.2011,2248920.640473710
22.06.2011,723810.2066540230
23.06.2011,2510238.3423994100
24.06.2011,3011939.7142689600
25.06.2011,1034277.878884180
26.06.2011,6591096.621858410
27.06.2011,12957818.238444300
28.06.2011,8353572.569927230
29.06.2011,2791208.119574710
30.06.2011,2396909.3070745000
01.07.2011,1549223.502244600
02.07.2011,862636.7169205600
03.07.2011,1220926.2921421100
04.07.2011,1215137.337605650
05.07.2011,5822300.890038300
06.07.2011,1236804.382440640
07.07.2011,1087761.5683092300
08.07.2011,1248839.875749190
09.07.2011,528143.3015684210
10.07.2011,4996402.031397360
11.07.2011,2298918.346957030
12.07.2011,955169.4672134450
13.07.2011,666720.0833377930
14.07.2011,991047.1757447130
15.07.2011,690232.4781615500
16.07.2011,481527.78284373200
17.07.2011,1147117.6335978700
18.07.2011,13234920.0225301
19.07.2011,1755235.5676617800
20.07.2011,4705057.952591190
21.07.2011,341279.7203307360
22.07.2011,593027.8711189350
23.07.2011,417799.5623268880
24.07.2011,800401.8210621230
25.07.2011,951322.9253299710
26.07.2011,678724.2836121050
27.07.2011,719762.644770527
28.07.2011,1601692.2518918900
29.07.2011,933174.6176414670
30.07.2011,1653356.6956109100
31.07.2011,1778972.0344859200
01.08.2011,1450966.705802500
02.08.2011,1477266.6278052900
03.08.2011,2166764.3950951700
04.08.2011,2653481.08898555
05.08.2011,1963349.2394860000
06.08.2011,2923273.504957870
07.08.2011,1836385.9026346800
08.08.2011,2994062.4184929000
09.08.2011,558178.1108208160
10.08.2011,825339.9219109170
11.08.2011,921926.9651957650
12.08.2011,376179.9771319710
13.08.2011,1005135.3080785500
14.08.2011,693408.7726065780
15.08.2011,1176206.0962570400
16.08.2011,783127.7872892180
17.08.2011,907364.0225749350
18.08.2011,1202485.3507702700
19.08.2011,843076.4357026290
20.08.2011,889210.6746045060
21.08.2011,398906.833094532
22.08.2011,951393.7546518970
23.08.2011,563268.8441365460
24.08.2011,790288.1151852240
25.08.2011,13695136.002774600
26.08.2011,6116276.959743710
27.08.2011,22702050.17517120
28.08.2011,1257893.3153391900
29.08.2011,3097458.325583110
30.08.2011,393281.0664194900
31.08.2011,518283.5925681970
01.09.2011,551475.3544760050
02.09.2011,2262874.65765884
03.09.2011,444171.45398294800
04.09.2011,583267.3978895500
05.09.2011,2728570.974432760
06.09.2011,2866571.7140998400
07.09.2011,3026247.566473290
08.09.2011,2609061.3386876200
09.09.2011,6893727.2782106200
10.09.2011,411700.0810984480
11.09.2011,10887797.79375100
12.09.2011,2074220.534670110
13.09.2011,6483347.180425600
14.09.2011,3623579.8181769200
15.09.2011,443378.31498651800
16.09.2011,1447560.7851069600
17.09.2011,1458394.5530048100
18.09.2011,401912.99092701100
